Period,Alaska Air Group Inc Price % Change,American Airlines Group Inc Price % Change,Delta Air Lines Inc Price % Change,JetBlue Airways Corp Price % Change,Southwest Airlines Co Price % Change,United Airlines Holdings Inc Price % Change
17:56.4,-2.84761,-2.622,-2.09177,-1.87874,-1.07679,-1.5205
17:07.0,-3.02719,-2.76766,-2.26046,-1.96413,-1.07679,-1.60195
16:14.4,-3.0785,-2.8405,-2.32794,-2.13493,-1.21848,-1.79202
14:53.4,-3.0785,-2.8405,-2.32794,-2.13493,-1.19014,-1.73771
13:56.2,-3.0785,-2.8405,-2.32794,-2.13493,-1.19014,-1.73771
12:59.1,-3.0785,-2.76766,-2.32794,-2.13493,-1.21848,-1.65626
12:03.0,-2.97589,-2.91333,-2.36167,-2.22032,-1.30349,-1.79202
11:12.6,-2.97589,-2.76766,-2.26046,-2.04953,-1.27515,-1.5748
10:14.2,-3.00154,-2.76766,-2.22672,-2.13493,-1.21848,-1.62911
09:16.5,-3.00154,-2.76766,-2.2942,-2.13493,-1.21848,-1.65626
08:24.6,-3.0785,-2.8405,-2.2942,-2.13493,-1.24681,-1.54765
07:27.5,-3.0785,-2.8405,-2.2942,-2.22032,-1.19014,-1.54765
06:29.3,-2.89892,-2.54916,-2.12551,-2.04953,-1.04846,-1.33044
05:31.9,-2.89892,-2.4035,-2.09177,-2.04953,-1.02012,-1.22183
04:39.6,-2.87327,-2.4035,-2.02429,-1.96413,-0.99178,-1.16753
03:42.2,-2.87327,-2.4035,-1.92308,-1.96413,-0.93511,-1.14037
02:49.3,-2.87327,-2.4035,-2.02429,-2.04953,-0.93511,-1.22183
01:58.3,-2.82196,-2.4035,-1.95682,-2.04953,-0.90677,-1.08607
01:04.7,-2.92458,-2.4035,-2.09177,-2.04953,-1.04846,-1.14037
00:13.0,-2.89892,-2.4035,-2.12551,-2.04953,-1.04846,-1.19468
59:17.4,-3.00154,-2.54916,-2.15924,-2.13493,-1.10513,-1.22183
58:29.0,-3.12981,-2.622,-2.22672,-2.22032,-1.1618,-1.33044
57:38.9,-3.12981,-2.622,-2.26046,-2.22032,-1.21848,-1.35759
56:46.5,-3.12981,-2.54916,-2.26046,-2.22032,-1.24681,-1.30329
55:54.0,-3.05285,-2.69483,-2.32794,-2.30572,-1.27515,-1.43904
55:05.3,-3.05285,-2.69483,-2.32794,-2.30572,-1.24681,-1.38474
54:16.1,-2.89892,-2.54916,-2.22672,-2.13493,-1.21848,-1.16753
53:24.3,-2.87327,-2.47633,-2.22672,-2.13493,-1.21848,-1.16753
52:31.1,-2.89892,-2.47633,-2.19298,-2.13493,-1.13347,-1.11322
51:42.6,-2.89892,-2.4035,-2.19298,-2.13493,-1.10513,-1.03177
50:55.4,-2.89892,-2.4035,-2.19298,-2.13493,-1.10513,-1.03177
50:04.3,-2.97589,-2.54916,-2.2942,-2.30572,-1.24681,-1.22183
49:14.2,-2.97589,-2.54916,-2.2942,-2.30572,-1.24681,-1.22183
48:26.8,-2.95023,-2.47633,-2.2942,-2.13493,-1.1618,-1.14037
47:36.8,-2.745,-2.4035,-2.19298,-2.13493,-1.10513,-1.11322
46:49.2,-2.745,-2.33066,-2.12551,-2.04953,-0.96345,-1.03177
46:01.8,-2.745,-2.33066,-2.12551,-2.04953,-0.96345,-1.03177
45:13.8,-2.745,-2.25783,-2.12551,-2.04953,-1.04846,-0.95031
44:24.9,-2.84761,-2.47633,-2.19298,-2.22032,-1.07679,-1.00462
43:36.7,-2.84761,-2.47633,-2.19298,-2.22032,-1.07679,-1.00462
42:48.2,-2.82196,-2.4035,-2.19298,-2.13493,-1.02012,-0.95031
42:02.4,-2.82196,-2.4035,-2.19298,-2.04953,-0.99178,-1.00462
41:13.2,-2.84761,-2.25783,-2.12551,-2.04953,-0.99178,-0.7331
40:24.4,-2.84761,-2.25783,-2.12551,-2.04953,-0.99178,-0.7331
39:36.4,-3.02719,-2.4035,-2.19298,-1.96413,-1.07679,-1.08607
38:48.2,-3.0785,-2.54916,-2.32794,-2.22032,-1.19014,-1.27613
37:59.4,-3.0785,-2.54916,-2.32794,-2.22032,-1.19014,-1.27613
37:10.0,-3.12981,-2.69483,-2.36167,-2.22032,-1.27515,-1.35759
36:23.5,-3.12981,-2.69483,-2.36167,-2.22032,-1.27515,-1.35759
35:34.2,-3.15546,-2.54916,-2.32794,-2.22032,-1.24681,-1.22183
34:44.5,-3.02719,-2.622,-2.36167,-2.22032,-1.27515,-1.19468
33:59.1,-3.02719,-2.622,-2.36167,-2.22032,-1.27515,-1.19468
33:09.3,-3.02719,-2.622,-2.36167,-2.30572,-1.24681,-1.19468
32:20.8,-2.97589,-2.47633,-2.32794,-2.04953,-1.1618,-1.14037
31:31.0,-2.79631,-2.33066,-2.26046,-2.04953,-1.1618,-1.03177
30:44.0,-2.79631,-2.33066,-2.26046,-2.04953,-1.1618,-1.03177
29:54.0,-2.79631,-2.4035,-2.2942,-2.13493,-1.21848,-1.19468
29:02.1,-2.79631,-2.25783,-2.22672,-2.04953,-1.21848,-1.03177
28:12.2,-2.79631,-2.25783,-2.19298,-1.96413,-1.1618,-0.95031
27:22.4,-2.79631,-2.33066,-2.12551,-1.96413,-1.1618,-0.95031
26:29.7,-2.95023,-2.4035,-2.26046,-2.13493,-1.21848,-1.08607
25:36.8,-2.95023,-2.25783,-2.2942,-2.13493,-1.21848,-1.08607
24:47.4,-2.95023,-2.25783,-2.22672,-2.13493,-1.24681,-1.16753
23:56.8,-2.95023,-2.25783,-2.19298,-2.13493,-1.21848,-1.14037
23:01.7,-2.95023,-2.25783,-2.19298,-2.13493,-1.21848,-1.03177
22:08.6,-2.84761,-1.9665,-2.05803,-2.04953,-1.1618,-0.89601
21:19.7,-2.84761,-2.11216,-2.12551,-2.04953,-1.10513,-1.03177
20:29.4,-2.84761,-2.03933,-2.09177,-2.04953,-1.10513,-1.00462
19:36.9,-2.77065,-2.03933,-2.05803,-1.96413,-1.07679,-0.97746
18:42.9,-3.12981,-2.47633,-2.2942,-2.22032,-1.30349,-1.24898
17:56.1,-3.12981,-2.54916,-2.36167,-2.30572,-1.41683,-1.33044
17:06.2,-3.23243,-2.622,-2.42915,-2.39112,-1.41683,-1.5205
16:05.2,-3.33504,-2.8405,-2.63158,-2.56191,-1.55852,-1.60195
14:33.8,-3.33504,-2.69483,-2.5641,-2.47652,-1.50184,-1.5205
13:46.9,-3.33504,-2.76766,-2.63158,-2.56191,-1.61519,-1.65626
12:56.1,-3.41201,-2.69483,-2.59784,-2.56191,-1.55852,-1.62911
12:05.5,-3.41201,-2.8405,-2.69906,-2.56191,-1.58685,-1.73771
11:16.8,-3.51462,-2.69483,-2.5641,-2.56191,-1.50184,-1.54765
10:27.1,-3.33504,-2.622,-2.5641,-2.47652,-1.44517,-1.68341
09:38.3,-3.33504,-2.622,-2.49663,-2.47652,-1.3885,-1.62911
08:51.2,-3.33504,-2.47633,-2.46289,-2.47652,-1.30349,-1.5748
08:04.1,-3.33504,-2.47633,-2.46289,-2.47652,-1.30349,-1.5748
07:14.3,-3.41201,-2.54916,-2.69906,-2.56191,-1.36016,-1.84632
06:25.0,-3.41201,-2.54916,-2.69906,-2.56191,-1.36016,-1.84632
05:38.2,-3.41201,-2.622,-2.66532,-2.56191,-1.3885,-1.98208
04:48.9,-3.28374,-2.47633,-2.53036,-2.56191,-1.33182,-1.73771
04:00.9,-3.28374,-2.47633,-2.53036,-2.56191,-1.33182,-1.73771
03:12.8,-3.33504,-2.47633,-2.53036,-2.56191,-1.3885,-1.76487
02:26.5,-3.33504,-2.4035,-2.46289,-2.47652,-1.36016,-1.62911
01:37.2,-3.33504,-2.47633,-2.42915,-2.47652,-1.44517,-1.62911
00:48.8,-3.23243,-2.4035,-2.53036,-2.47652,-1.44517,-1.79202
00:02.9,-3.23243,-2.4035,-2.53036,-2.47652,-1.44517,-1.79202
59:14.0,-3.33504,-2.25783,-2.49663,-2.39112,-1.3885,-1.4662
58:26.2,-3.23243,-2.33066,-2.42915,-2.39112,-1.30349,-1.54765
57:38.4,-3.23243,-2.69483,-2.73279,-2.56191,-1.55852,-1.79202
56:51.1,-3.23243,-2.69483,-2.73279,-2.56191,-1.55852,-1.79202
56:03.0,-3.23243,-2.622,-2.63158,-2.56191,-1.50184,-1.76487
55:15.9,-3.33504,-2.8405,-2.80027,-2.47652,-1.64353,-1.98208
54:29.2,-3.54028,-2.98616,-2.90148,-2.47652,-1.72853,-2.06354
53:40.6,-3.51462,-2.8405,-2.80027,-2.47652,-1.61519,-1.98208
52:50.7,-3.43766,-2.54916,-2.69906,-2.30572,-1.50184,-1.76487
52:04.7,-3.38635,-2.4035,-2.5641,-2.39112,-1.41683,-1.5205
51:15.9,-3.30939,-2.4035,-2.5641,-2.13493,-1.44517,-1.62911
50:26.7,-3.05285,-2.25783,-2.39541,-2.04953,-1.30349,-1.49335
49:40.5,-3.10416,-2.33066,-2.46289,-2.22032,-1.24681,-1.68341
48:53.3,-3.33504,-2.33066,-2.39541,-2.22032,-1.27515,-1.60195
48:04.5,-3.15546,-2.185,-2.32794,-2.22032,-1.27515,-1.5748
47:17.0,-3.38635,-2.25783,-2.39541,-2.39112,-1.3885,-1.71056
46:31.8,-3.38635,-2.69483,-2.59784,-2.56191,-1.44517,-1.92778
45:41.3,-3.38635,-2.69483,-2.59784,-2.56191,-1.41683,-1.98208
44:51.9,-3.56593,-2.8405,-2.69906,-2.64731,-1.53018,-2.22645
44:05.6,-3.46331,-2.8405,-2.63158,-2.64731,-1.44517,-2.09069
